Posição,Time,Sigla,Variação,P,J,V,E,D,GP,GC,SG,%
1,Palmeiras,PAL,0,51,24,15,6,3,44,20,24,70
2,Flamengo,FLA,0,45,23,13,6,4,45,21,24,65
3,Athletico-PR,CAP,0,44,24,13,5,6,34,22,12,61
4,Fluminense,FLU,0,41,24,11,8,5,36,29,7,56
5,Cruzeiro,CRU,0,39,24,11,6,7,34,33,1,54
6,Bahia,BAH,0,37,24,9,10,5,34,28,6,51
7,Bragantino,RBB,0,35,23,10,5,8,28,23,5,50
8,Coritiba,CFC,2,34,24,9,7,8,30,31,-1,47
9,Atlético-MG,CAM,1,33,23,9,6,8,30,27,3,47
10,Corinthians,COR,1,32,24,8,8,8,26,24,2,44
11,Botafogo,BOT,0,30,23,8,6,9,37,37,0,43
12,Vitória,VIT,0,29,24,8,5,11,23,35,-12,40
13,São Paulo,SAO,0,27,23,7,6,10,27,27,0,39
14,Santos,SAN,0,26,23,6,8,9,33,36,-3,37
15,Grêmio,GRE,0,25,23,6,7,10,24,31,-7,36
16,Internacional,INT,0,25,24,5,10,9,24,28,-4,34
17,Mirassol,MIR,0,24,23,6,6,11,26,36,-10,34
18,Remo,REM,0,23,24,5,8,11,28,39,-11,31
19,Vasco,VAS,0,22,23,5,7,11,24,38,-14,31
20,Chapecoense,CHA,0,14,23,2,8,13,24,46,-22,20
