disciplina,nome,data,entregue,status_bruto,obrigatorio,tipo
EXTRAÇÃO E PREPARAÇÃO DE DADOS,AC 1 - Extracao Tabela Tabula,12/08/2026,✅,RESPONDIDO,True,INDIVIDUAL
EXTRAÇÃO E PREPARAÇÃO DE DADOS,AC 2 - Camelot,18/08/2026,✅,RESPONDIDO,True,INDIVIDUAL
EXTRAÇÃO E PREPARAÇÃO DE DADOS,AC 3 - Tabela Guns,19/08/2026,✅,RESPONDIDO,True,INDIVIDUAL
EXTRAÇÃO E PREPARAÇÃO DE DADOS,AC Pensamento Critico,20/08/2026,✅,RESPONDIDO,True,INDIVIDUAL
INOVAÇÃO E DESIGN THINKING,Roda da inovação ,24/08/2026,✅,RESPONDIDO,False,INDIVIDUAL
EXTRAÇÃO E PREPARAÇÃO DE DADOS,AC 4 - Coleta Tabela McDonalds,25/08/2026,✅,RESPONDIDO,True,INDIVIDUAL
INOVAÇÃO E DESIGN THINKING,Formulário ,25/08/2026,✅,RESPONDIDO,False,INDIVIDUAL
PROJETO EM CIÊNCIA DE DADOS IV,ATIVIDADE —QUALIDADE DE SOFTWARE,26/08/2026,✅,RESPONDIDO,True,GRUPO
EXTRAÇÃO E PREPARAÇÃO DE DADOS,AC 6 - Pontos vs Saldo com Escudo - Serie A Brasileirao,01/09/2026,✅,RESPONDIDO,True,INDIVIDUAL
EXTRAÇÃO E PREPARAÇÃO DE DADOS,AC 7 - Nuvem de Palavras Frases Motivacionais,02/09/2026,✅,RESPONDIDO,True,INDIVIDUAL
EXTRAÇÃO E PREPARAÇÃO DE DADOS,AC 8 - Mapa de Calor books.toscrape.com,02/09/2026,✅,RESPONDIDO,True,INDIVIDUAL
EXTRAÇÃO E PREPARAÇÃO DE DADOS,AC 9 - CSV com produtos da Araujo ou Raia,09/09/2026,✅,RESPONDIDO,True,INDIVIDUAL
EXTRAÇÃO E PREPARAÇÃO DE DADOS,AC 10 - Tree Map Categorias Araujo,09/09/2026,✅,RESPONDIDO,True,INDIVIDUAL
EXTRAÇÃO E PREPARAÇÃO DE DADOS,AC 11 - Diagrama Sankey para uma categoria -> subcategoria,10/09/2026,✅,RESPONDIDO,True,INDIVIDUAL
EXTRAÇÃO E PREPARAÇÃO DE DADOS,AC 12 - Extracao Sala de Aula API,15/09/2026,✅,RESPONDIDO,True,INDIVIDUAL
