departamento;categoria;subcategoria;pid;produto;marca;preco;preco_de;desconto;url;imagem
Saúde e Bem Estar;Saúde e Bem Estar;Serviços de Saúde;90000;Fórmula Manipulada;Serviços;0.01;0.01;;https://www.araujo.com.br/receb-antecip-f-manipulada/90000.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/90000/0000012345670_1.webp
Saúde e Bem Estar;Saúde e Bem Estar;Seringas e Injetores;101100;Agulha Hipodérmica Descarpack Descartável 30 x 0,80 21G com 1 Unidade;Descarpack;0.09;0.19;52% OFF;https://www.araujo.com.br/agulha-hipodermica-descarpack-descartavel-30-x-080-21g-com-1-unidade/101100.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/101100/136849_7898283814246_1.webp
Saúde e Bem Estar;Saúde e Bem Estar;Seringas e Injetores;95288;Agulha Descarpack Descartável Hipodérmica 25X0,80 21g com 1 Unidade;Descarpack;0.09;0.19;52% OFF;https://www.araujo.com.br/agulha-descarpack-descartavel-hipodermica-25x080-21g-com-1-unidade/95288.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/95288/7898283814222_1.webp
Saúde e Bem Estar;Saúde e Bem Estar;Seringas e Injetores;18795;Agulha Descartável Descarpack 25mm x 0,7mm com 1 Unidade;Descarpack;0.19;0.59;67% OFF;https://www.araujo.com.br/agulha-descartavel-descarpack-25mm-x-07mm-com-1-unidade/18795.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/18795/07898283814215_1.webp
Mercado;Mercado;Livraria;46431;Jornal Super Notícias Domingo;Jornal Super;0.5;0.5;;https://www.araujo.com.br/jornal-super-noticias-domingo/46431.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/46431/09771807842018_1.webp
Saúde e Bem Estar;Saúde e Bem Estar;Seringas e Injetores;98504;Agulha Hipodérmica BD Precisionglide Descartável 30mm x 6,0mm Azul com 1 Unidade;BD;0.69;0.69;;https://www.araujo.com.br/agulha-hipodermica-bd-precisionglide-descartavel-30mm-x-60mm-azul-com-1-unidade/98504.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/98504/137629_0382903035175_1.webp
Mercado;Mercado;Doces e Bombonieres;96822;Bala Freegells Melancia Mentol Drops 27,9g;Freegells;0.69;2.19;68% OFF;https://www.araujo.com.br/bala-freegells-melancia-mentol-drops-279g/96822.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/96822/7891151041591_1.webp
Saúde e Bem Estar;Saúde e Bem Estar;Seringas e Injetores;98505;Agulha Hipodermica BD Descartável Precisionglide 25mm x 6,0mm com Azul 1 Unidade;BD;0.69;0.69;;https://www.araujo.com.br/agulha-hipodermica-bd-descartavel-precisionglide-25mm-x-60mm-com-azul-1-unidade/98505.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/98505/135631_0000078909809_1.webp
Mercado;Mercado;Doces e Bombonieres;96821;Bala Freegells Vit C Própolis Mel e Limão Drops 27,9g;Freegells;0.69;2.19;68% OFF;https://www.araujo.com.br/bala-freegells-vit-c-propolis-mel-e-limao-drops-279g/96821.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/96821/7891151039895_1.webp
Saúde e Bem Estar;Saúde e Bem Estar;Seringas e Injetores;101056;Escalpe de Segurança Descarpack 27G Descartável Cinza com 1 Unidades;Descarpack;0.79;1.89;58% OFF;https://www.araujo.com.br/escalpe-de-seguranca-descarpack-27g-descartavel-cinza-com-1-unidades/101056.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/101056/132928_7898283816820_1.webp
Mercado;Mercado;Doces e Bombonieres;105098;Pacoquinha Rolha Mió Sabor Original 15g;Mió;0.79;0.79;Leve 4 porR$ 0,49cada;https://www.araujo.com.br/pacoquinha-rolha-mio-sabor-original-15g/105098.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/105098/168440_7897685921248_1.webp
Mercado;Mercado;Biscoitos e Bolachas;104105;Biscoito Wafer Dadinho Os Chocolix Sabor Amendoim e Chocolate 26g;Dadinho;0.79;1.69;53% OFF;https://www.araujo.com.br/biscoito-wafer-dadinho-os-chocolix-sabor-amendoim-e-chocolate-26g/104105.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/104105/152564_7898530842640_1.webp
Saúde e Bem Estar;Saúde e Bem Estar;Seringas e Injetores;101002;Escalpe de Segurança Descarpack Descartável Amarelo e Laranja 25G com 1 Unidade;Descarpack;0.79;1.89;58% OFF;https://www.araujo.com.br/escalpe-de-seguranca-descarpack-descartavel-amarelo-e-laranja-25g-com-1-unidade/101002.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/101002/132927_7898283816813_1.webp
Saúde e Bem Estar;Saúde e Bem Estar;Seringas e Injetores;101235;Escalpe de Segurança Descarpack 21G Descartável Verde com 1 Unidade;Descarpack;0.79;3.59;77% OFF;https://www.araujo.com.br/escalpe-de-seguranca-descarpack-21g-descartavel-verde-com-1-unidade/101235.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/101235/132925_7898283816790_1.webp
Saúde e Bem Estar;Saúde e Bem Estar;Seringas e Injetores;101230;Escalpe de Segurança Descarpack 23G Descartável Amarelo e Azul com 1 Unidade;Descarpack;0.79;3.59;77% OFF;https://www.araujo.com.br/escalpe-de-seguranca-descarpack-23g-descartavel-amarelo-e-azul-com-1-unidade/101230.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/101230/132926_7898283816806_1.webp
Saúde e Bem Estar;Saúde e Bem Estar;Seringas e Injetores;98506;Agulha Hipodérmica BD Precisionglide Descartável 15mm x 5,0mm com Laranja 1 Unidade;BD;0.89;0.89;;https://www.araujo.com.br/agulha-hipodermica-bd-precisionglide-descartavel-15mm-x-50mm-com-laranja-1-unidade/98506.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/98506/137314_0000078909885_1.webp
Mercado;Mercado;Salgadinhos e Snacks;100961;Salgadinho de Trigo Queijo Torcida Pacote 35g;Torcida;0.99;2.29;56% OFF;https://www.araujo.com.br/salgadinho-de-trigo-queijo-torcida-pacote-35g/100961.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/100961/116375_7892840822521_1.webp
Mercado;Mercado;Livraria;107983;Cards para Colorir Cozy e Comfy Capivara Sortidos 1 Envelope com 6 Unidades;Cozy & Comfy;0.99;7.99;87% OFF;https://www.araujo.com.br/cards-para-colorir-cozy-e-comfy-capivara-sortidos-envelope-com-6-unidades/107983.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/107983/200712_7898565517032_1.webp
Mercado;Mercado;Doces e Bombonieres;105783;Paçoquinha Dadinho Cremosa 20g;Dadinho;0.99;0.99;;https://www.araujo.com.br/pacoquinha-dadinho-cremosa-20g/105783.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/105783/171686_7898530842381_1.webp
Saúde e Bem Estar;Saúde e Bem Estar;Primeiros Socorros;76068;Curativo para Bolhas Nexcare 3M com 6 Unidades;Nexcare;0.99;45.99;97% OFF;https://www.araujo.com.br/curativo-para-bolhas-nexcare-3m-com-6-unidades/76068.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/76068/07891040197514_1.webp
Mercado;Mercado;Bebidas;95939;Água Mineral Mió Natural Copo 200ml;Mió;0.99;0.99;;https://www.araujo.com.br/agua-mineral-mio-natural-copo-200ml/95939.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/95939/7896447507706_1.webp
Mercado;Mercado;Livraria;107984;Cards para Colorir Fofo Monstros Cozy e Comfy Sortidos 1 Envelope com 6 Unidades;Cozy & Comfy;0.99;7.99;87% OFF;https://www.araujo.com.br/cards-para-colorir-fofo-monstros-cozy-e-comfy-sortidos-1-envelope-com-6-unidades/107984.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/107984/200707_7898565517117_1.webp
Mercado;Mercado;Salgadinhos e Snacks;106389;Salgadinho de Milho Plinckitos Sabor Presunto Conchinha 33g;Plinckitos;0.99;1.89;47% OFF;https://www.araujo.com.br/salgadinho-de-milho-plinckitos-sabor-presunto-conchinha-33g/106389.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/106389/193437_7896769802466_1.webp
Mercado;Mercado;Salgadinhos e Snacks;106390;Salgadinho de Milho Plinckitos Sabor Churrasco Conchinha 33g;Plinckitos;0.99;1.89;47% OFF;https://www.araujo.com.br/salgadinho-de-milho-plinckitos-sabor-churrasco-conchinha-33g/106390.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/106390/193436_7896769802435_1.webp
Saúde e Bem Estar;Saúde e Bem Estar;Seringas e Injetores;98507;Agulha Hipodérmica BD Precisionglide Descartável 13mm x 4,0mm Cinza 1 Unidade;BD;0.99;0.99;;https://www.araujo.com.br/agulha-hipodermica-bd-precisionglide-descartavel-13mm-x-40mm-cinza-1-unidade/98507.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/98507/137318_0000078909847_1.webp
Mercado;Mercado;Doces e Bombonieres;103131;Balas Mastigáveis Up Date Frutas Sortidas 25g;Up date;0.99;3.19;68% OFF;https://www.araujo.com.br/balas-mastigaveis-up-date-frutas-sortidas-25g/103131.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/103131/138453_7891151042178_1.webp
Mercado;Mercado;Livraria;107982;Cards para Colorir Cozy e Comfy Sortidos 1 Envelope com 6 Unidades;Cozy & Comfy;0.99;7.99;87% OFF;https://www.araujo.com.br/cards-para-colorir-cozy-e-comfy-sortidos-1-envelope-com-6-unidades/107982.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/107982/200737_7898565516998_1.webp
Mercado;Mercado;Doces e Bombonieres;31310;Paçoca Rolha Paçoquita 15g;Paçoquita;0.99;0.99;Leve 3 porR$ 0,59cada;https://www.araujo.com.br/pacoca-rolha-pacoquita-15g/31310.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/31310/07896336005917_1.webp
Mercado;Mercado;Salgadinhos e Snacks;92862;Salgadinho Aperitivo Plinc Show Sabor Cheddar com Bacon 50g;Plinc;0.99;2.09;52% OFF;https://www.araujo.com.br/salgadinho-aperitivo-plinc-show-sabor-cheddar-com-bacon-50g/92862.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/92862/07896769801926_1.webp
Mercado;Mercado;Doces e Bombonieres;103134;Balas Mastigáveis Up Date Sabor Tutti Frutti 25g;Up date;0.99;3.19;68% OFF;https://www.araujo.com.br/balas-mastigaveis-up-date-sabor-tutti-frutti-25g/103134.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/103134/138449_7891151043373_1.webp
Mercado;Mercado;Doces e Bombonieres;108893;Pirulito Explosivo Plutonita Pegada da Melância 5,5g;Plutonita;0.99;1.69;41% OFF;https://www.araujo.com.br/pirulito-explosivo-plutonita-pegada-da-melancia-55g/108893.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/108893/210674_7891118026951_1.webp
Beleza e Cuidados;Beleza e Cuidados;Perfumes e Colônias;105283;Sabonete Perfumado em Barra Siene Babosa 85g;Siene;0.99;1.89;47% OFF;https://www.araujo.com.br/sabonete-perfumado-em-barra-siene-babosa-85g/105283.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/105283/168496_7898086585978_1.webp
Mercado;Mercado;Chocolates;101346;Chocolate Neugebauer CO. 1891 Supreme Branco 9g;Neugebauer;0.99;1.99;50% OFF;https://www.araujo.com.br/chocolate-neugebauer-co-1891-supreme-branco-9g/101346.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/101346/115427_7891330019816_1.webp
Medicamentos;Medicamentos;Remédios Cardiológicos;82649;Hidroclorotiazida 25mg Medquímica Genérico com 30 Comprimidos;Hidroclorotiazida;0.99;3.67;73% OFF;https://www.araujo.com.br/hidroclorotiazida-25mg-medquimica-generico-com-30-comprimidos/82649.html;/on/demandware.static/Sites-Araujo-Site/-/default/dw928af150/images/generico.webp
Mercado;Mercado;Doces e Bombonieres;95975;Balas Mastigáveis Up Date Sabor Menta 25g;Skittles;0.99;3.19;68% OFF;https://www.araujo.com.br/balas-mastigaveis-up-date-sabor-menta-25g/95975.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/95975/7891151042192_1.webp
Mercado;Mercado;Salgadinhos e Snacks;106388;Salgadinho de Milho Plinckitos Sabor Cebola e Salsa Argola 33g;Plinckitos;0.99;1.89;47% OFF;https://www.araujo.com.br/salgadinho-de-milho-plinckitos-sabor-cebola-e-salsa-argola-33g/106388.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/106388/176451_7896769801919_1.webp
Saúde e Bem Estar;Saúde e Bem Estar;Seringas e Injetores;85001;Soro Fisiológico Solusam Dose Única Ampola 5ml 1 Unidade;Solusam;0.99;0.99;;https://www.araujo.com.br/soro-fisiologico-solusam-dose-unica-ampola-5ml-1-unidade/85001.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/85001/00000000009027_1.webp
Mercado;Mercado;Chocolates;102162;Chocolate Neugebauer CO. 1891 Intense Chocolate Amargo 70% Cacau 9g;Neugebauer;0.99;1.99;50% OFF;https://www.araujo.com.br/chocolate-neugebauer-co-1891-intense-chocolate-amargo-70-cacau-9g/102162.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/102162/133380_7891330018550_1.webp
Mercado;Mercado;Produtos de Limpeza;102077;Essência Lavanda Odorizante Aromatec Limpa e Perfuma 120ml;Aromatec;0.99;13.99;92% OFF;https://www.araujo.com.br/essencia-lavanda-odorizante-aromatec-limpa-e-perfuma-120ml/102077.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/102077/132512_7898145290201_1.webp
Mercado;Mercado;Livraria;102161;Chocolate Neugebauer CO. 1891 Dark 55% Cacau 9g;Neugebauer;0.99;1.99;50% OFF;https://www.araujo.com.br/chocolate-neugebauer-co-1891-dark-55-cacau-9g/102161.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/102161/133283_7891330018574_1.webp
Mercado;Mercado;Salgadinhos e Snacks;93823;Batata Palha Aliança Extra Fina 12g;Aliança;1.09;1.09;;https://www.araujo.com.br/batata-palha-alianca-extra-fina-12g/93823.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/93823/07898150190268_1.webp
Beleza e Cuidados;Beleza e Cuidados;Unhas;99808;Espátula Simples Zalike Beauty Collection Plástico 150 Cores Sortidas 1 Unidade;Zailike;1.19;1.19;;https://www.araujo.com.br/espatula-simples-zalike-beauty-collection-plastico-150-cores-sortidas-1-unidade/99808.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/99808/07899536102974_1.webp
Mercado;Mercado;Doces e Bombonieres;105331;Chiclete Flics Sabor Hortelã 17g;Arcor;1.29;1.29;;https://www.araujo.com.br/chiclete-flics-sabor-hortela-17g/105331.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/105331/168953_7891118007837_1.webp
Mercado;Mercado;Chocolates;97807;Bombom Bon O Bon Sabor Amargo 15g;Arcor;1.29;1.29;;https://www.araujo.com.br/bombom-bon-o-bon-sabor-amargo-15g/97807.html;https://i3-imagens-prd.araujo.com.br/redimensionada/380x380/97807/0000078924888_1.webp
