nivel,categoria,categoria_pai,caminho,url,slug
1,Medicamentos,,Medicamentos,https://www.araujo.com.br/medicamentos,medicamentos
2,Remédio para Diabetes,Medicamentos,Medicamentos > Remédio para Diabetes,https://www.araujo.com.br/medicamentos/diabetes,diabetes
3,Insulina,Remédio para Diabetes,Medicamentos > Remédio para Diabetes > Insulina,https://www.araujo.com.br/medicamentos/insulina,insulina
2,Remédios Cardiológicos,Medicamentos,Medicamentos > Remédios Cardiológicos,https://www.araujo.com.br/medicamentos/cardiologicos,cardiologicos
3,Remédio para Arritmia Cardíaca,Remédios Cardiológicos,Medicamentos > Remédios Cardiológicos > Remédio para Arritmia Cardíaca,https://www.araujo.com.br/medicamentos/arritmia-cardiaca,arritmia-cardiaca
3,Remédio para Insuficiência Cardíaca,Remédios Cardiológicos,Medicamentos > Remédios Cardiológicos > Remédio para Insuficiência Cardíaca,https://www.araujo.com.br/medicamentos/insuficiencia-cardiaca,insuficiencia-cardiaca
3,Remédio para Colesterol,Remédios Cardiológicos,Medicamentos > Remédios Cardiológicos > Remédio para Colesterol,https://www.araujo.com.br/medicamentos/colesterol,colesterol
3,Remédio para Pressão Alta,Remédios Cardiológicos,Medicamentos > Remédios Cardiológicos > Remédio para Pressão Alta,https://www.araujo.com.br/medicamentos/hipertensao,hipertensao
2,Mais Medicamentos,Medicamentos,Medicamentos > Mais Medicamentos,https://www.araujo.com.br/medicamentos/mais-medicamentos,mais-medicamentos
2,Antigripais,Medicamentos,Medicamentos > Antigripais,https://www.araujo.com.br/medicamentos/antigripal,antigripal
2,Saúde dos Olhos,Medicamentos,Medicamentos > Saúde dos Olhos,https://www.araujo.com.br/medicamentos/saude-dos-olhos,saude-dos-olhos
3,Colírio Antialérgico,Saúde dos Olhos,Medicamentos > Saúde dos Olhos > Colírio Antialérgico,https://www.araujo.com.br/medicamentos/colirio-antialergico,colirio-antialergico
3,Colírio Lubrificante,Saúde dos Olhos,Medicamentos > Saúde dos Olhos > Colírio Lubrificante,https://www.araujo.com.br/medicamentos/colirio-lubrificante,colirio-lubrificante
