locale_idlocale,locale_idcity,locale_capital,locale_idcountry,locale_ac,locale_country,locale_uf,locale_city,locale_region,locale_seaside,locale_latitude,locale_longitude,locale_tourist,locale_agricultural,locale_base,weather_id,weather_name,weather_date,weather_dayWeek,weather_dateUpdate,weather_temperature,weather_windVelocity,weather_windDirection,weather_windDirectionDegrees,weather_humidity,weather_condition,weather_pressure,weather_icon,weather_sensation,weather_slugCondition
5893,6377,False,7,BR,Brasil,AC,Acrelândia,N,False,-9.828,-66.883,False,False,cities,5893,Acrelândia,09/09/2026,Quarta-feira,11:09:00,21,1,E,90,84,Sol,1013,1,24,sol
4425,5496,False,7,BR,Brasil,AC,Brasiléia,N,False,-11.016,-68.748,False,False,cities,4425,Brasiléia,09/09/2026,Quarta-feira,11:09:00,20,3,SE,140,86,Sol,1013,1,21,sol
4908,1,False,7,BR,Brasil,AC,Cruzeiro do Sul,N,False,-7.631,-72.67,False,False,cities,4908,Cruzeiro do Sul,09/09/2026,Quarta-feira,10:24:00,20,3,SSE,166,89,Sol,1014,1,22,sol
6804,2,False,7,BR,Brasil,AC,Feijó,N,False,-8.164,-70.354,False,False,cities,6804,Feijó,09/09/2026,Quarta-feira,11:09:00,20,3,ESE,120,89,Sol,1013,1,23,sol
6806,3,False,7,BR,Brasil,AC,Mâncio Lima,N,False,-7.614,-72.896,False,False,cities,6806,Mâncio Lima,09/09/2026,Quarta-feira,10:24:00,20,3,S,180,88,Sol,1014,1,22,sol
6807,4,False,7,BR,Brasil,AC,Plácido de Castro,N,False,-10.335,-67.186,False,False,cities,6807,Plácido de Castro,09/09/2026,Quarta-feira,10:24:00,20,1,ESE,103,89,Sol,1013,1,23,sol
6808,5,False,7,BR,Brasil,AC,Porto Acre,N,False,-9.588,-67.532,False,False,cities,6808,Porto Acre,09/09/2026,Quarta-feira,11:09:00,21,2,ESE,106,87,Sol,1013,1,24,sol
4538,5655,False,7,BR,Brasil,AC,Sena Madureira,N,False,-9.066,-68.657,False,False,cities,4538,Sena Madureira,09/09/2026,Quarta-feira,11:09:00,20,1,SE,124,91,Sol,1013,1,23,sol
4707,5902,False,7,BR,Brasil,AC,Xapuri,N,False,-10.652,-68.504,False,False,cities,4707,Xapuri,09/09/2026,Quarta-feira,10:24:00,20,4,SE,133,89,Sol,1013,1,22,sol
4548,5690,False,7,BR,Brasil,AL,Anadia,NE,False,-9.684,-36.304,False,False,cities,4548,Anadia,09/09/2026,Quarta-feira,11:09:00,24,5,ENE,73,77,Sol,1019,1,26,sol
6404,817,False,7,BR,Brasil,AL,Arapiraca,NE,False,-9.752,-36.661,False,False,cities,6404,Arapiraca,09/09/2026,Quarta-feira,11:09:00,24,5,ENE,71,74,Sol,1019,1,26,sol
6405,818,False,7,BR,Brasil,AL,Batalha,NE,False,-9.678,-37.125,False,False,cities,6405,Batalha,09/09/2026,Quarta-feira,11:09:00,23,8,ENE,70,74,Sol,1019,1,25,sol
4254,5291,False,7,BR,Brasil,AL,Cacimbinhas,NE,False,-9.4,-36.99,False,False,cities,4254,Cacimbinhas,09/09/2026,Quarta-feira,10:24:00,23,6,ENE,71,72,Sol,1019,1,24,sol
4046,5002,False,7,BR,Brasil,AL,Capela,NE,False,-9.408,-36.074,False,False,cities,4046,Capela,09/09/2026,Quarta-feira,10:24:00,24,5,ENE,74,81,Sol,1019,1,26,sol
5215,2171,False,7,BR,Brasil,AL,Delmiro Gouveia,NE,False,-9.389,-37.999,False,False,cities,5215,Delmiro Gouveia,09/09/2026,Quarta-feira,10:24:00,22,12,ENE,67,70,Sol,1019,1,22,sol
4563,5705,False,7,BR,Brasil,AL,Dois Riachos,NE,False,-9.393,-37.101,False,False,cities,4563,Dois Riachos,09/09/2026,Quarta-feira,10:24:00,22,7,ENE,70,74,Sol,1019,1,24,sol
4564,5706,False,7,BR,Brasil,AL,Estrela de Alagoas,NE,False,-9.39,-36.76,False,False,cities,4564,Estrela de Alagoas,09/09/2026,Quarta-feira,10:24:00,22,5,ENE,72,71,Sol,1019,1,23,sol
4565,5707,False,7,BR,Brasil,AL,Feira Grande,NE,False,-9.9,-36.677,False,False,cities,4565,Feira Grande,09/09/2026,Quarta-feira,10:24:00,24,6,ENE,71,75,Sol,1019,1,26,sol
4566,5708,False,7,BR,Brasil,AL,Feliz Deserto,NE,True,-10.292,-36.35,False,False,cities,4566,Feliz Deserto,09/09/2026,Quarta-feira,10:24:00,26,8,ENE,72,78,Sol,1019,1,29,sol
4567,5709,False,7,BR,Brasil,AL,Flexeiras,NE,False,-9.197,-35.781,False,False,cities,4567,Flexeiras,09/09/2026,Quarta-feira,11:09:00,23,5,ENE,75,77,Sol,1019,1,25,sol
