codigo_disciplina,disciplina,diaSemana,horaInicio,horaFim
IBM4028,PROJETO EM CIÊNCIA DE DADOS IV,Qua,12:50:00Z,13:45:00Z
IBM4028,PROJETO EM CIÊNCIA DE DADOS IV,Qua,13:45:00Z,14:40:00Z
IBM4028,PROJETO EM CIÊNCIA DE DADOS IV,Qui,12:50:00Z,13:45:00Z
IBM4028,PROJETO EM CIÊNCIA DE DADOS IV,Qui,13:45:00Z,14:40:00Z
IBM8915,EXTRAÇÃO E PREPARAÇÃO DE DADOS,Ter,12:50:00Z,13:45:00Z
IBM8915,EXTRAÇÃO E PREPARAÇÃO DE DADOS,Ter,13:45:00Z,14:40:00Z
IBM8915,EXTRAÇÃO E PREPARAÇÃO DE DADOS,Qua,10:30:00Z,11:25:00Z
IBM8915,EXTRAÇÃO E PREPARAÇÃO DE DADOS,Qua,11:25:00Z,12:20:00Z
IBM0037,INFERÊNCIA ESTATÍSTICA,Seg,10:30:00Z,11:25:00Z
IBM0037,INFERÊNCIA ESTATÍSTICA,Seg,11:25:00Z,12:20:00Z
IBM0037,INFERÊNCIA ESTATÍSTICA,Qui,10:30:00Z,11:25:00Z
IBM0037,INFERÊNCIA ESTATÍSTICA,Qui,11:25:00Z,12:20:00Z
IBM0792,MÉTODOS ÁGEIS DE DESENVOLVIMENTO DE SOFTWARE,Seg,12:50:00Z,13:45:00Z
IBM0792,MÉTODOS ÁGEIS DE DESENVOLVIMENTO DE SOFTWARE,Seg,13:45:00Z,14:40:00Z
IBM0792,MÉTODOS ÁGEIS DE DESENVOLVIMENTO DE SOFTWARE,Sex,12:50:00Z,13:45:00Z
IBM0792,MÉTODOS ÁGEIS DE DESENVOLVIMENTO DE SOFTWARE,Sex,13:45:00Z,14:40:00Z
IBM1740,INOVAÇÃO E DESIGN THINKING,Ter,10:30:00Z,11:25:00Z
IBM1740,INOVAÇÃO E DESIGN THINKING,Ter,11:25:00Z,12:20:00Z
IBM1740,INOVAÇÃO E DESIGN THINKING,Sex,10:30:00Z,11:25:00Z
IBM1740,INOVAÇÃO E DESIGN THINKING,Sex,11:25:00Z,12:20:00Z
